Date,Adj Close,Volume,AVG_Price,RSI,MACD,MACD_Signal,ADX,upperband,middleband,lowerband,Winning_Percent_10Days,Winning
1986-08-13,0.07797899999999999,18899200,0.21093800000000001,,,,,,,,0.15624799999999994,TRUE
1986-08-14,0.082311,4160000,0.222656,,,,,,,,0.10236366495059412,TRUE
1986-08-15,0.080867,4332800,0.22070299999999998,,,,,,,,0.09600190054108082,TRUE
1986-08-18,0.07797899999999999,2828800,0.214844,,,,,,,,0.14062399999999997,TRUE
1986-08-19,0.07942300000000001,2060800,0.214844,,,,,0.22473547924050452,0.21562520000000002,0.2065149207594955,0.17910430652722953,TRUE
1986-08-20,0.07942300000000001,684800,0.214844,,,,,0.224373108088036,0.21640640000000003,0.20843969191196404,0.09090947558165852,TRUE
1986-08-21,0.082311,883200,0.222656,,,,,0.224373108088036,0.21640640000000003,0.20843969191196404,0.050001066666666705,TRUE
1986-08-22,0.082311,1734400,0.222656,,,,,0.22656200000000182,0.2171876,0.2078131999999982,0.13636628098660664,TRUE
1986-08-25,0.07942300000000001,627200,0.21875,,,,,0.22562296554824854,0.21796880000000002,0.2103146344517515,0.18840504431772231,TRUE
1986-08-26,0.07942300000000001,793600,0.214844,,,,,0.22562296554824854,0.21796880000000002,0.2103146344517515,0.2567571775010984,TRUE
1986-08-27,0.07942300000000001,2540800,0.214844,,,,,0.22562296554824854,0.21796880000000002,0.2103146344517515,0.2567571775010984,TRUE
1986-08-28,0.076535,1555200,0.2109375,,,,,0.22472591770017059,0.2148438,0.20496168229982942,0.27027153250329516,TRUE
1986-08-29,0.076535,1548800,0.207031,,,,,0.21937394534414514,0.2117188,0.20406365465585488,0.2689673679880369,TRUE
1986-09-02,0.082311,1068800,0.222656,,,,,0.22497398624793943,0.2132812,0.20158841375206057,0.18571520000000008,TRUE
1986-09-03,0.082311,403200,0.222656,58.823263658815726,,,,0.22881902486509997,0.21484359999999997,0.20086817513489996,0.18571668897519733,TRUE
