Date,Open,High,Low,Close,Adj Close,Volume
2002-05-22,62.200001,63.029999,61.860001,62.900002,39.877518,2218500
2002-05-23,63.000000,63.500000,62.330002,63.080002,39.991634,2202400
2002-05-24,62.450001,62.990002,61.770000,62.380001,39.547852,1154000
2002-05-28,62.400002,63.180000,61.919998,62.669998,39.731693,1136800
2002-05-29,62.000000,63.000000,61.990002,62.599998,39.687344,1138900
2002-05-30,62.000000,63.450001,61.860001,63.139999,40.100151,1553600
2002-05-31,62.919998,63.180000,61.820000,62.049999,39.407887,2402900
2002-06-03,62.299999,63.189999,62.299999,62.820000,39.896912,1999800
2002-06-04,62.570000,62.900002,61.950001,62.049999,39.407887,2896600
2002-06-05,62.349998,63.889999,61.750000,63.799999,40.519318,2434500
2002-06-06,63.900002,64.349998,63.290001,63.599998,40.392281,2936900
2002-06-07,63.400002,64.230003,62.900002,63.400002,40.265274,2111500
2002-06-10,63.299999,64.790001,63.049999,63.900002,40.582825,1564700
2002-06-11,63.480000,64.220001,63.320000,63.480000,40.316063,1529200
2002-06-12,63.849998,65.830002,63.529999,65.510002,41.605331,3045300
2002-06-13,65.379997,66.150002,65.110001,65.849998,41.821255,2241500
2002-06-14,65.629997,65.959999,64.720001,65.269997,41.452904,2493000
2002-06-17,65.260002,66.800003,65.260002,66.760002,42.399185,2089700
2002-06-18,66.760002,68.550003,66.500000,68.250000,43.345497,4396900
2002-06-19,68.599998,69.580002,68.000000,68.199997,43.313732,4166100
2002-06-20,68.690002,70.129997,68.519997,70.000000,44.456917,3965400
2002-06-21,70.000000,70.540001,69.500000,70.360001,44.685555,3459700
2002-06-24,70.099998,70.550003,69.080002,69.500000,44.139370,4094800
2002-06-25,69.120003,69.300003,66.410004,67.849998,43.091442,5869400
2002-06-26,67.110001,68.599998,66.260002,68.500000,43.504280,3084200
2002-06-27,68.879997,71.519997,68.599998,71.430000,45.365120,4159000
2002-06-28,71.000000,71.500000,69.500000,69.500000,44.139370,3805100
2002-07-01,69.500000,69.959999,68.500000,68.550003,43.536041,2880500
2002-07-02,68.349998,68.790001,67.330002,67.750000,43.027943,3548900
2002-07-03,67.550003,69.400002,67.199997,69.260002,43.986946,2363000
2002-07-05,69.260002,69.750000,68.510002,68.699997,43.631287,1222300
2002-07-08,68.500000,69.699997,68.180000,68.500000,43.504280,1787000
2002-07-09,68.250000,69.449997,68.250000,68.989998,43.815468,2595200
2002-07-10,69.500000,69.500000,65.000000,66.440002,42.195976,3634200
2002-07-11,65.150002,66.000000,62.500000,66.000000,41.916527,5109400
2002-07-12,65.000000,65.000000,60.000000,62.189999,39.496784,6649700
2002-07-15,60.500000,60.509998,55.450001,58.549999,37.185028,8285100
2002-07-16,57.520000,59.669998,57.509998,58.000000,36.835739,5797200
2002-07-17,60.500000,62.200001,58.200001,60.000000,38.105927,6737500
2002-07-18,59.900002,61.869999,59.299999,60.599998,38.486977,5197000
2002-07-19,60.450001,60.459999,55.380001,56.099998,35.629036,5817100
2002-07-22,56.099998,56.799999,52.299999,53.950001,34.263580,5830700
2002-07-23,53.799999,54.900002,52.810001,54.099998,34.358849,4204700
2002-07-24,53.299999,58.730000,52.330002,58.000000,36.835739,5048200
2002-07-25,58.189999,60.500000,57.759998,60.400002,38.359959,4975300
2002-07-26,60.400002,60.400002,58.060001,60.119999,38.182133,3020400
2002-07-29,60.349998,62.799999,60.349998,62.799999,39.884224,3142300
2002-07-30,62.750000,63.650002,61.799999,63.169998,40.119202,2232100
2002-07-31,63.000000,64.209999,61.959999,64.110001,40.716198,2302700
2002-08-01,63.849998,64.449997,63.250000,63.369999,40.246216,2144900
2002-08-02,63.200001,63.950001,60.950001,61.779999,39.236401,2450400
2002-08-05,61.150002,61.950001,59.080002,59.549999,37.820137,2988900
2002-08-06,60.900002,64.000000,60.820000,62.799999,39.884224,3195200
2002-08-07,63.400002,64.750000,61.799999,64.709999,41.097237,2325300
2002-08-08,65.000000,66.669998,64.589996,66.349998,42.138813,3353000
2002-08-09,65.379997,66.760002,65.129997,65.599998,41.662483,2002500
2002-08-12,65.349998,66.139999,64.110001,65.440002,41.560875,1452700
2002-08-13,65.300003,65.349998,62.990002,63.180000,40.125534,2836900
2002-08-14,63.180000,63.849998,62.320000,63.750000,40.487556,2810900
2002-08-15,63.950001,64.680000,62.900002,64.000000,40.646336,2864800
2002-08-16,64.000000,66.019997,63.400002,65.419998,41.548164,2448900
2002-08-19,65.000000,65.900002,63.599998,64.040001,40.671722,2590800
2002-08-20,64.040001,64.040001,63.250000,63.540001,40.354187,1518400
2002-08-21,63.790001,64.980003,63.200001,63.450001,40.297009,1610600
2002-08-22,63.599998,63.950001,61.700001,62.160000,39.477745,2650600
2002-08-23,61.250000,61.740002,59.500000,59.709999,37.921741,3473500
2002-08-26,60.049999,61.400002,59.500000,60.950001,38.709278,2334100
2002-08-27,62.599998,62.849998,62.000000,62.220001,39.515854,2140500
2002-08-28,62.209999,62.599998,61.209999,61.990002,39.369774,2590300
2002-08-29,60.650002,63.009998,60.509998,62.500000,39.764248,1850900
2002-08-30,62.340000,64.239998,61.950001,63.320000,40.285954,2075800
2002-09-03,62.900002,63.869999,62.000000,62.380001,39.687901,2840300
2002-09-04,62.750000,64.099998,62.400002,64.019997,40.731312,2464300
2002-09-05,62.950001,65.199997,62.799999,63.849998,40.623138,2168600
2002-09-06,64.849998,65.489998,64.489998,64.669998,41.144848,1513300
2002-09-09,64.599998,66.989998,64.199997,66.519997,42.321873,3198000
2002-09-10,67.000000,67.099998,65.400002,65.750000,41.831997,2587200
2002-09-11,65.449997,65.949997,65.250000,65.250000,41.513851,1370500
2002-09-12,65.300003,66.730003,65.290001,65.980003,41.978313,2434500
2002-09-13,65.680000,66.599998,65.309998,65.730003,41.819244,1535700
2002-09-16,65.599998,67.220001,65.599998,65.750000,41.831997,2032800
2002-09-17,64.000000,65.190002,63.139999,64.019997,40.731312,3990100
2002-09-18,64.019997,66.099998,63.520000,65.190002,41.475674,2737200
2002-09-19,64.610001,65.550003,64.250000,64.430000,40.992149,1765600
2002-09-20,65.099998,66.199997,64.599998,65.230003,41.501137,3426500
2002-09-23,64.980003,66.300003,64.970001,65.699997,41.800163,2157800
2002-09-24,65.849998,66.489998,65.400002,65.699997,41.800163,3119400
2002-09-25,66.050003,66.389999,63.450001,63.900002,40.654957,4036300
2002-09-26,64.400002,65.500000,63.740002,65.500000,41.672916,2808000
2002-09-27,65.599998,66.040001,64.809998,65.550003,41.704731,2289600
2002-09-30,64.970001,65.599998,64.000000,64.669998,41.144848,2521000
2002-10-01,64.900002,65.550003,64.019997,64.800003,41.227577,2295300
2002-10-02,64.699997,65.000000,63.189999,63.189999,40.203239,2600100
2002-10-03,63.419998,64.080002,60.849998,61.810001,39.325245,3821200
2002-10-04,61.810001,62.240002,60.500000,61.000000,38.809891,2589400
2002-10-07,61.099998,62.980000,61.099998,61.439999,39.089832,2358000
2002-10-08,61.459999,61.689999,56.639999,58.099998,36.964832,5232900
2002-10-09,57.849998,59.680000,56.750000,58.009998,36.907570,3976400
2002-10-10,58.990002,61.410000,58.000000,60.880001,38.733543,2265600
2002-10-11,63.049999,63.209999,61.529999,62.450001,39.732433,2723500
2002-10-14,62.450001,62.740002,59.330002,60.099998,38.237282,2907500
2002-10-15,60.349998,61.959999,58.000000,58.930000,37.492908,4946300
2002-10-16,58.930000,60.150002,58.700001,59.500000,37.855553,2395600
2002-10-17,61.150002,61.200001,55.250000,58.299999,37.092072,5898800
2002-10-18,56.950001,59.930000,56.950001,59.380001,37.779217,3105500
2002-10-21,58.700001,59.549999,58.349998,59.150002,37.632885,2799200
2002-10-22,58.070000,59.049999,57.900002,58.500000,37.219326,1839500
2002-10-23,58.599998,60.290001,58.389999,60.290001,38.358181,2261200
2002-10-24,60.250000,60.599998,58.759998,59.099998,37.601070,3172900
2002-10-25,58.250000,58.349998,54.900002,56.630001,36.029583,7503400
2002-10-28,56.900002,56.919998,54.750000,55.450001,35.278839,4068400
2002-10-29,54.900002,57.799999,54.869999,57.439999,36.544914,3808800
2002-10-30,58.250000,59.009998,57.400002,58.750000,37.378380,2779800
2002-10-31,58.750000,59.049999,57.709999,57.900002,36.837589,2389000
2002-11-01,57.889999,57.900002,56.150002,56.380001,35.870537,2600700
2002-11-04,56.500000,56.590000,49.889999,50.230000,31.957720,11956900
2002-11-05,48.639999,53.759998,48.509998,53.650002,34.133606,8693100
2002-11-06,54.750000,55.759998,53.250000,54.950001,34.960716,6180000
2002-11-07,55.000000,55.400002,54.549999,54.900002,34.928909,3314600
2002-11-08,55.650002,56.799999,55.150002,56.430000,35.902328,4514000
2002-11-11,56.430000,57.000000,54.139999,54.599998,34.738037,2533200
2002-11-12,54.599998,55.500000,54.070000,54.529999,34.693501,2125300
2002-11-13,58.000000,58.000000,52.139999,53.230000,33.866421,4050000
2002-11-14,53.250000,53.840000,50.430000,50.529999,32.148575,4763400
2002-11-15,50.599998,51.500000,50.130001,50.349998,32.034069,5100600
2002-11-18,50.349998,50.360001,48.650002,49.299999,31.366032,6733300
2002-11-19,49.500000,51.970001,49.500000,51.250000,32.606678,4879000
2002-11-20,51.049999,52.169998,50.639999,52.040001,33.109287,3533600
2002-11-21,52.049999,52.840000,51.650002,52.099998,33.147465,5209900
2002-11-22,52.400002,52.990002,51.820000,51.840000,32.982044,2189300
2002-11-25,51.849998,51.919998,50.580002,51.230000,32.593956,2657500
2002-11-26,50.599998,51.509998,50.549999,51.459999,32.740288,2899900
2002-11-27,52.049999,53.770000,51.700001,53.189999,33.913445,3809100
2002-11-29,53.189999,53.189999,51.900002,52.200001,33.282238,1191100
2002-12-02,52.349998,52.799999,51.099998,52.419998,33.422508,2522100
2002-12-03,51.750000,52.500000,50.820000,50.930000,32.472492,1980600
2002-12-04,51.099998,52.000000,50.939999,51.740002,32.988960,3203700
2002-12-05,51.779999,52.130001,50.540001,51.000000,32.517136,1766700
2002-12-06,50.900002,52.509998,50.450001,52.240002,33.307743,2630600
2002-12-09,51.950001,52.500000,51.369999,51.500000,32.835930,1958800
2002-12-10,51.549999,52.279999,50.900002,51.599998,32.899677,2117500
2002-12-11,51.599998,52.500000,51.150002,52.009998,33.161083,1671900
2002-12-12,52.009998,52.009998,50.709999,51.349998,32.740288,1610100
2002-12-13,50.880001,51.189999,49.439999,49.700001,31.688253,2433200
2002-12-16,49.520000,50.419998,49.200001,50.419998,32.147320,2632200
2002-12-17,51.150002,51.919998,50.220001,50.599998,32.262089,2458600
2002-12-18,50.939999,52.669998,50.509998,52.529999,33.492634,2848600
2002-12-19,53.000000,54.650002,52.990002,54.299999,34.621189,4248600
2002-12-20,55.029999,55.500000,54.340000,54.619999,34.825199,2845100
2002-12-23,56.200001,57.209999,55.520000,57.160000,36.444687,3801100
2002-12-24,56.500000,57.500000,56.500000,56.840000,36.240658,1160300
2002-12-26,57.400002,57.500000,56.630001,56.900002,36.278912,1251700
2002-12-27,57.900002,58.299999,57.250000,57.700001,36.788986,2102700
2002-12-30,58.049999,58.110001,56.450001,57.000000,36.342663,2832100
2002-12-31,57.049999,57.840000,56.250000,57.750000,36.820858,1706500
2003-01-02,58.070000,58.950001,57.560001,58.849998,37.522224,2066400
2003-01-03,58.250000,58.880001,58.250000,58.709999,37.432941,1404100
2003-01-06,58.270000,58.689999,58.099998,58.500000,37.299057,2046200
2003-01-07,57.950001,58.049999,55.680000,56.000000,35.705082,3172300
2003-01-08,55.900002,56.740002,55.150002,55.450001,35.354408,2449700
2003-01-09,55.930000,55.930000,53.700001,55.169998,35.175865,3670000
2003-01-10,55.349998,57.439999,55.200001,56.990002,36.336296,3022500
2003-01-13,57.000000,57.000000,54.990002,55.270000,35.239651,2098300
2003-01-14,55.279999,55.990002,54.500000,55.000000,35.067482,1861800
